online_order,book_table,rate,votes,rest_type,cuisines,cost,type,city
Yes,No,3.3,69,Quick Bites,"Street Food, North Indian, Bengali, Oriya",400,Delivery,Indiranagar
Yes,Yes,4.1,522,Casual Dining,"Chinese, Vietnamese, Momos, Thai",800,Delivery,Indiranagar
Yes,No,3.6,88,Quick Bites,"North Indian, Chinese",250,Delivery,Indiranagar
Yes,No,4.3,146,Casual Dining,"Biryani, North Indian, Kebab",650,Delivery,Indiranagar
Yes,No,3.9,456,Casual Dining,"North Indian, Chinese, Biryani, Seafood",600,Delivery,Indiranagar
Yes,No,3.9,238,Casual Dining,"North Indian, Chinese, Biryani, Kebab, Juices",800,Delivery,Indiranagar
Yes,No,4.0,153,Casual Dining,"North Indian, Chinese, Seafood",700,Delivery,Indiranagar
Yes,No,3.7,68,Quick Bites,"Fast Food, Burger",200,Delivery,Indiranagar
Yes,No,4.4,457,Delivery,"Healthy Food, Desserts",500,Delivery,Indiranagar
No,No,4.6,1313,"Cafe, Casual Dining","Cafe, American, Burger, Steak",900,Delivery,Indiranagar
Yes,No,3.2,128,Mess,"Andhra, Biryani, Chinese",400,Delivery,Indiranagar
Yes,No,3.6,8,Quick Bites,"North Indian, Fast Food",350,Delivery,Indiranagar
Yes,No,3.6,51,Casual Dining,"North Indian, South Indian, Chinese, Biryani",450,Delivery,Indiranagar
Yes,No,3.8,135,"Dessert Parlor, Cafe","Desserts, Cafe, Italian, Beverages",700,Delivery,Indiranagar
Yes,No,3.7,43,Delivery,"Street Food, Beverages",150,Delivery,Indiranagar
Yes,No,3.9,59,Delivery,"Mexican, Italian",600,Delivery,Indiranagar
Yes,No,3.9,82,Quick Bites,"Burger, Sandwich, Beverages",500,Delivery,Indiranagar
Yes,No,3.8,426,Casual Dining,"Andhra, Biryani, North Indian",500,Delivery,Indiranagar
Yes,No,3.4,20,Delivery,"South Indian, North Indian, Beverages",500,Delivery,Indiranagar
Yes,No,3.9,24,Casual Dining,"Chinese, Asian",700,Delivery,Indiranagar
Yes,No,4.0,173,Delivery,North Indian,450,Delivery,Indiranagar
Yes,No,3.9,190,Delivery,"Healthy Food, Beverages",600,Delivery,Indiranagar
Yes,No,3.7,11,Quick Bites,Bengali,500,Delivery,Indiranagar
Yes,No,4.3,1210,Casual Dining,"Portuguese, African",1200,Delivery,Indiranagar
Yes,No,4.3,127,Dessert Parlor,Desserts,300,Delivery,Indiranagar
Yes,No,3.3,45,Delivery,Burger,300,Delivery,Indiranagar
Yes,No,3.7,443,Casual Dining,"South Indian, Chinese, North Indian",400,Delivery,Indiranagar
Yes,No,3.7,833,Casual Dining,"Pizza, Fast Food",750,Delivery,Indiranagar
Yes,No,4.2,444,Casual Dining,"Seafood, Maharashtrian",700,Delivery,Indiranagar
Yes,No,3.2,574,Casual Dining,"Chettinad, Biryani, South Indian, Seafood",600,Delivery,Indiranagar
Yes,No,3.8,221,Casual Dining,"Chinese, Momos",400,Delivery,Indiranagar
Yes,No,3.1,18,Casual Dining,Healthy Food,500,Delivery,Indiranagar
Yes,No,3.3,12,Delivery,"North Indian, BBQ, Biryani, Kebab",450,Delivery,Indiranagar
Yes,Yes,4.6,5421,Casual Dining,"European, Italian, Desserts, Salad, Juices, Steak",1600,Delivery,Indiranagar
Yes,No,4.2,387,Quick Bites,"Mexican, American, Fast Food",600,Delivery,Indiranagar
Yes,No,3.1,39,Delivery,"Sandwich, Beverages",400,Delivery,Indiranagar
Yes,Yes,4.3,367,Casual Dining,"Thai, Asian, Indonesian",1200,Delivery,Indiranagar
Yes,No,3.9,30,Quick Bites,Chinese,400,Delivery,Indiranagar
Yes,No,4.0,401,Cafe,"Cafe, Italian, Burger, American, Steak",650,Delivery,Indiranagar
Yes,No,4.0,261,Sweet Shop,"Mithai, Street Food",400,Delivery,Indiranagar
Yes,No,3.4,41,Quick Bites,South Indian,100,Delivery,Indiranagar
Yes,No,3.9,661,Cafe,"Cafe, Tea, North Indian",500,Delivery,Indiranagar
Yes,No,3.7,106,Quick Bites,"Salad, Fast Food",600,Delivery,Indiranagar
Yes,No,3.7,16,Casual Dining,"Andhra, Biryani",600,Delivery,Indiranagar
Yes,No,4.1,259,Dessert Parlor,"Desserts, Beverages",300,Delivery,Indiranagar
Yes,Yes,4.1,243,Casual Dining,Kerala,800,Delivery,Indiranagar
Yes,No,3.8,185,Quick Bites,Fast Food,150,Delivery,Indiranagar
Yes,No,4.2,734,Dessert Parlor,Desserts,300,Delivery,Indiranagar
Yes,No,4.6,3760,"Casual Dining, Bar","Asian, Thai, Vietnamese, Malaysian, Beverages",1200,Delivery,Indiranagar
Yes,No,3.7,32,Delivery,"North Indian, Chinese",400,Delivery,Indiranagar
Yes,No,3.6,8,Delivery,Bakery,250,Delivery,Indiranagar
Yes,No,4.1,293,Casual Dining,"Chinese, North Indian, Kerala, Mangalorean, Seafood",800,Delivery,Indiranagar
Yes,No,4.4,535,Delivery,"Desserts, Bakery",600,Delivery,Indiranagar
Yes,No,4.0,43,Quick Bites,"Andhra, North Indian",400,Delivery,Indiranagar
Yes,No,4.6,1689,"Dessert Parlor, Cafe","Desserts, Cafe, Beverages",900,Delivery,Indiranagar
Yes,No,3.9,160,Quick Bites,"South Indian, North Indian, Chinese",40,Delivery,Indiranagar
Yes,No,3.6,67,Delivery,"North Indian, Mughlai, Chinese",300,Delivery,Indiranagar
Yes,No,4.0,682,Casual Dining,"Biryani, Kebab",750,Delivery,Indiranagar
Yes,No,3.9,199,Quick Bites,"South Indian, Biryani",400,Delivery,Indiranagar
Yes,No,2.9,21,Delivery,"Burger, Rolls, Sandwich, North Indian",500,Delivery,Indiranagar
Yes,No,3.6,31,Casual Dining,Arabian,800,Delivery,Indiranagar
Yes,No,4.2,175,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food",250,Delivery,Indiranagar
Yes,No,3.6,51,Delivery,North Indian,500,Delivery,Indiranagar
Yes,No,3.7,57,Delivery,"Healthy Food, Sandwich",300,Delivery,Indiranagar
Yes,No,3.9,647,Casual Dining,"Chinese, Thai, Momos",500,Delivery,Indiranagar
Yes,No,4.0,264,"Quick Bites, Beverage Shop","Continental, Beverages",700,Delivery,Indiranagar
Yes,No,4.1,198,Casual Dining,"Seafood, South Indian, North Indian, Mangalorean, Chinese",650,Delivery,Indiranagar
Yes,No,3.9,56,Bakery,Bakery,500,Delivery,Indiranagar
Yes,Yes,3.9,53,Quick Bites,"Biryani, North Indian, Arabian",350,Delivery,Indiranagar
Yes,No,4.4,154,Cafe,"Cafe, Healthy Food, Momos",600,Delivery,Indiranagar
Yes,No,3.3,59,Casual Dining,"Seafood, Mangalorean, North Indian, Biryani",750,Delivery,Indiranagar
Yes,No,3.0,64,Dessert Parlor,"Desserts, Juices, Fast Food",200,Delivery,Indiranagar
Yes,No,4.2,5299,"Bakery, Cafe","Bakery, Cafe, Italian, Desserts",600,Delivery,Indiranagar
Yes,No,4.0,567,"Beverage Shop, Dessert Parlor","Desserts, Beverages, Ice Cream",400,Delivery,Indiranagar
Yes,No,3.0,21,Quick Bites,Maharashtrian,200,Delivery,Indiranagar
Yes,No,4.7,1594,Casual Dining,"Asian, Burmese",1500,Delivery,Indiranagar
Yes,No,4.4,580,Quick Bites,"French, Sandwich, Salad",450,Delivery,Indiranagar
Yes,Yes,3.9,49,Cafe,"Cafe, Continental, Tea, Beverages, Desserts",450,Delivery,Indiranagar
Yes,No,3.9,257,Casual Dining,"North Indian, Chinese, South Indian",650,Delivery,Indiranagar
Yes,No,3.6,40,Casual Dining,Kerala,500,Delivery,Indiranagar
Yes,No,4.0,213,Beverage Shop,"Beverages, Juices, Ice Cream",100,Delivery,Indiranagar
Yes,No,3.6,16,Casual Dining,"Mangalorean, Seafood, North Indian, Chinese",800,Delivery,Indiranagar
Yes,No,3.9,97,Quick Bites,"Bengali, North Indian",500,Delivery,Indiranagar
Yes,No,3.6,25,Beverage Shop,"Beverages, Fast Food, Ice Cream",200,Delivery,Indiranagar
Yes,No,3.0,235,Delivery,Pizza,500,Delivery,Indiranagar
Yes,No,4.0,528,Delivery,"Burger, American, Italian",350,Delivery,Indiranagar
No,No,4.1,1075,Casual Dining,"North Indian, Street Food, Chinese",800,Delivery,Indiranagar
Yes,No,4.1,128,Beverage Shop,"Beverages, Sandwich",250,Delivery,Indiranagar
Yes,No,3.9,36,Dessert Parlor,Desserts,250,Delivery,Indiranagar
Yes,No,3.9,140,Delivery,"North Indian, Biryani, Fast Food",500,Delivery,Indiranagar
Yes,No,3.7,270,Delivery,"North Indian, Continental",500,Delivery,Indiranagar
Yes,No,3.9,29,Delivery,North Indian,400,Delivery,Indiranagar
Yes,Yes,4.5,1619,Casual Dining,"Italian, Pizza, Salad",1300,Delivery,Indiranagar
No,No,4.2,1926,Casual Dining,"Andhra, Biryani",850,Delivery,Indiranagar
Yes,No,4.3,3848,Pub,"American, Asian, European, North Indian",1400,Delivery,Indiranagar
Yes,No,4.3,566,Cafe,"Cafe, Continental, Italian, Burger, Beverages",700,Delivery,Indiranagar
Yes,No,4.2,171,Casual Dining,"Nepalese, Tibetan, Momos",800,Delivery,Indiranagar
Yes,No,3.4,334,Casual Dining,"Andhra, South Indian, North Indian",550,Delivery,Indiranagar
Yes,No,4.2,1204,Cafe,"Cafe, Healthy Food, Salad, Beverages",600,Delivery,Indiranagar
Yes,No,4.0,359,Casual Dining,"Chinese, Thai, Momos, Vietnamese",1000,Delivery,Indiranagar
Yes,Yes,4.4,1420,"Casual Dining, Bar",North Indian,1100,Delivery,Indiranagar
Yes,Yes,4.3,2654,Cafe,"Cafe, Continental, Italian, Burger",1200,Delivery,Indiranagar
Yes,Yes,4.3,2039,Casual Dining,"Steak, Italian, Continental, American, Burger, BBQ, Salad",1500,Delivery,Indiranagar
Yes,No,3.2,166,Quick Bites,"Pizza, Italian",600,Delivery,Indiranagar
Yes,No,3.9,388,Quick Bites,"Burger, Fast Food",500,Delivery,Indiranagar
Yes,No,2.9,319,Casual Dining,"North Indian, Chinese, Kerala, Mughlai, Arabian, Beverages",1000,Delivery,Indiranagar
Yes,No,3.2,23,Quick Bites,North Indian,150,Delivery,Indiranagar
Yes,No,2.8,34,Delivery,"Continental, North Indian, Desserts, Beverages",600,Delivery,Indiranagar
Yes,Yes,4.1,840,Casual Dining,"North Indian, Chinese, Continental",1200,Delivery,Indiranagar
Yes,No,3.5,38,Delivery,South Indian,600,Delivery,Indiranagar
Yes,No,4.0,556,Casual Dining,"North Indian, Chinese, South Indian",900,Delivery,Indiranagar
Yes,Yes,4.3,389,"Bar, Casual Dining","Finger Food, Continental, Pizza",1600,Delivery,Indiranagar
Yes,No,3.8,55,"Takeaway, Delivery","North Indian, Fast Food",500,Delivery,Indiranagar
Yes,No,3.4,94,Quick Bites,Kerala,300,Delivery,Indiranagar
Yes,No,3.5,60,Quick Bites,"Italian, Pizza",300,Delivery,Indiranagar
Yes,No,4.2,624,Dessert Parlor,Desserts,300,Delivery,Indiranagar
Yes,No,4.1,496,Quick Bites,"Chinese, North Indian, Rolls",300,Delivery,Indiranagar
Yes,No,4.1,1145,"Cafe, Casual Dining","Cafe, Continental, Momos, Italian, North Indian",500,Delivery,Indiranagar
Yes,No,2.5,22,Casual Dining,Chinese,1000,Delivery,Indiranagar
Yes,No,4.4,1865,Casual Dining,Modern Indian,1800,Delivery,Indiranagar
Yes,No,3.7,72,Cafe,"Cafe, Fast Food",900,Delivery,Indiranagar
Yes,No,3.9,120,Quick Bites,"Street Food, Fast Food",250,Delivery,Indiranagar
Yes,No,3.7,257,Quick Bites,"Biryani, North Indian, Mangalorean, Seafood",450,Delivery,Indiranagar
Yes,Yes,4.0,1021,Casual Dining,"North Indian, Mughlai",700,Delivery,Indiranagar
Yes,Yes,4.0,340,Quick Bites,"Continental, Burger, Cafe, Steak",800,Delivery,Indiranagar
Yes,Yes,3.6,592,Casual Dining,"Biryani, Chinese, Continental, North Indian, Pizza",850,Delivery,Indiranagar
Yes,No,3.9,117,Quick Bites,"Pizza, Fast Food",800,Delivery,Indiranagar
Yes,No,3.3,214,Quick Bites,North Indian,450,Delivery,Indiranagar
Yes,No,4.2,125,Casual Dining,Thai,700,Delivery,Indiranagar
Yes,No,4.5,2686,"Dessert Parlor, Cafe","Ice Cream, Cafe, Beverages, Burger, Desserts, Pizza",550,Delivery,Indiranagar
Yes,No,3.9,87,Casual Dining,"North Indian, Chinese, Fast Food, Street Food",500,Delivery,Indiranagar
Yes,No,2.8,94,Casual Dining,"Chinese, Thai, Momos, Vietnamese",600,Delivery,Indiranagar
No,Yes,4.2,902,"Casual Dining, Bar","Andhra, Biryani, North Indian, Chinese",800,Delivery,Indiranagar
Yes,No,3.0,564,Casual Dining,"South Indian, North Indian, Street Food",200,Delivery,Indiranagar
Yes,No,3.6,17,Casual Dining,"North Indian, Chinese, Biryani",500,Delivery,Indiranagar
Yes,No,3.6,44,Kiosk,North Indian,300,Delivery,Indiranagar
Yes,No,3.9,137,Quick Bites,"Street Food, Rolls",300,Delivery,Indiranagar
Yes,No,3.7,29,Bakery,"Bakery, Desserts",300,Delivery,Indiranagar
Yes,No,4.2,970,Casual Dining,"Chinese, Seafood",1100,Delivery,Indiranagar
Yes,No,3.9,148,Food Court,"Bakery, Desserts, Beverages",450,Delivery,Indiranagar
Yes,No,3.0,159,Casual Dining,South Indian,400,Delivery,Indiranagar
Yes,No,3.6,179,Quick Bites,"North Indian, Biryani, Mughlai, Rolls",350,Delivery,Indiranagar
Yes,No,3.9,543,Casual Dining,"North Indian, Mughlai",800,Delivery,Indiranagar
Yes,No,3.5,124,"Takeaway, Delivery","Burger, American, Beverages, Desserts, Italian, Salad, Ice Cream, Finger Food",500,Delivery,Indiranagar
Yes,No,2.8,29,"Takeaway, Delivery",American,500,Delivery,Indiranagar
Yes,No,3.1,8,Quick Bites,"Fast Food, Pizza",350,Delivery,Indiranagar
Yes,No,2.6,124,Quick Bites,"Chinese, Tibetan",500,Delivery,Indiranagar
Yes,No,3.5,9,"Takeaway, Delivery",South Indian,300,Delivery,Indiranagar
Yes,No,4.9,1735,Dessert Parlor,Desserts,400,Delivery,Indiranagar
Yes,No,3.6,21,"Quick Bites, Beverage Shop","Fast Food, Street Food, Beverages",300,Delivery,Indiranagar
Yes,No,3.3,5,"Cafe, Quick Bites","Italian, American, Chinese, Arabian, North Indian, Cafe",350,Delivery,Indiranagar
Yes,No,3.3,13,Quick Bites,Biryani,200,Delivery,Indiranagar
Yes,No,4.0,69,Casual Dining,"Chettinad, South Indian",750,Delivery,Indiranagar
Yes,No,3.3,63,Casual Dining,"North Indian, Chinese, Andhra",500,Delivery,Indiranagar
Yes,No,3.8,1837,Casual Dining,"North Indian, Street Food",900,Delivery,Indiranagar
Yes,No,4.3,183,Quick Bites,"Cafe, Burger, Beverages",650,Delivery,Indiranagar
Yes,No,3.5,43,Beverage Shop,"Beverages, Ice Cream",150,Delivery,Indiranagar
Yes,No,3.9,123,"Dessert Parlor, Quick Bites","Mithai, Street Food",400,Delivery,Indiranagar
Yes,Yes,4.1,1827,"Casual Dining, Bar","Italian, Seafood, American, Continental",1100,Delivery,Indiranagar
Yes,Yes,4.4,2558,Casual Dining,"Asian, Thai, Chinese, BBQ, Momos",1600,Delivery,Indiranagar
Yes,No,3.9,117,Casual Dining,Chettinad,600,Delivery,Indiranagar
No,No,4.2,807,Casual Dining,"Andhra, Biryani, North Indian",900,Delivery,Indiranagar
Yes,No,3.6,228,Quick Bites,North Indian,350,Delivery,Indiranagar
Yes,No,4.1,332,"Casual Dining, Cafe","Continental, Cafe, Steak",800,Delivery,Indiranagar
Yes,No,3.4,34,"Bakery, Quick Bites","Bakery, Fast Food, Street Food",300,Delivery,Indiranagar
Yes,No,3.4,9,Quick Bites,"Fast Food, Lebanese",200,Delivery,Indiranagar
Yes,No,4.0,1095,Casual Dining,"Kerala, Seafood",1300,Delivery,Indiranagar
Yes,No,3.5,16,Quick Bites,South Indian,200,Delivery,Indiranagar
Yes,No,3.9,205,Casual Dining,"Pizza, Italian, Continental, Desserts",800,Delivery,Indiranagar
Yes,No,3.5,22,Quick Bites,"Fast Food, Rolls",400,Delivery,Indiranagar
Yes,No,4.0,289,Dessert Parlor,Desserts,300,Delivery,Indiranagar
Yes,No,4.3,374,Dessert Parlor,"Street Food, Continental, Mexican, Beverages, Cafe, Desserts, Spanish",400,Delivery,Indiranagar
Yes,No,4.1,167,Beverage Shop,"Beverages, Desserts, Ice Cream",400,Delivery,Indiranagar
Yes,No,3.1,54,Delivery,Continental,500,Delivery,Indiranagar
Yes,Yes,4.0,930,Casual Dining,"Rajasthani, Gujarati",800,Delivery,Indiranagar
Yes,No,4.3,420,"Dessert Parlor, Cafe","Desserts, Cafe",400,Delivery,Indiranagar
Yes,No,3.6,216,Casual Dining,"North Indian, South Indian, Chinese, Seafood",550,Delivery,Indiranagar
No,Yes,4.2,172,"Lounge, Casual Dining","Continental, Modern Indian",1500,Delivery,Indiranagar
Yes,No,2.9,229,"Quick Bites, Dessert Parlor","North Indian, Street Food, Mithai",250,Delivery,Indiranagar
Yes,No,4.1,110,"Quick Bites, Sweet Shop","Mithai, Street Food",150,Delivery,Indiranagar
Yes,No,4.0,71,Dessert Parlor,Desserts,400,Delivery,Indiranagar
Yes,No,3.9,324,Casual Dining,"Chinese, Momos",600,Delivery,Indiranagar
Yes,No,3.7,22,Quick Bites,"Street Food, North Indian",100,Delivery,Indiranagar
No,No,3.8,768,Casual Dining,"Chettinad, South Indian",650,Delivery,Indiranagar
Yes,No,4.0,106,Delivery,Pizza,750,Delivery,Indiranagar
Yes,No,4.1,146,Casual Dining,"North Indian, Biryani",800,Delivery,Indiranagar
Yes,Yes,4.3,1236,"Cafe, Bakery","Cafe, Continental, Beverages, Burger, Desserts, Pizza, Bakery, European",1000,Delivery,Indiranagar
Yes,No,3.5,5,Quick Bites,"Chinese, North Indian",200,Delivery,Indiranagar
Yes,Yes,4.1,1473,Casual Dining,"American, Continental, Fast Food, Steak",1500,Delivery,Indiranagar
Yes,No,3.4,11,Dessert Parlor,Bakery,100,Delivery,Indiranagar
Yes,No,4.0,84,Cafe,"Fast Food, Cafe",450,Delivery,Indiranagar
Yes,No,3.8,55,Dessert Parlor,Desserts,300,Delivery,Indiranagar
Yes,Yes,4.1,54,Cafe,"Cafe, Healthy Food",800,Delivery,Indiranagar
Yes,No,3.6,38,Quick Bites,North Indian,350,Delivery,Indiranagar
Yes,No,2.7,283,Casual Dining,Chinese,700,Delivery,Indiranagar
Yes,No,3.9,77,"Dessert Parlor, Beverage Shop","Desserts, Beverages",300,Delivery,Indiranagar
Yes,No,3.7,32,Sweet Shop,"Mithai, Desserts",250,Delivery,Indiranagar
Yes,No,3.3,11,Quick Bites,South Indian,100,Delivery,Indiranagar
Yes,No,4.2,216,Dessert Parlor,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,Delivery,Indiranagar
Yes,No,3.8,31,Food Court,"Desserts, Beverages",300,Delivery,Indiranagar
Yes,Yes,3.9,1360,Fine Dining,North Indian,2100,Delivery,Indiranagar
Yes,Yes,3.9,96,"Casual Dining, Bar","Mughlai, North Indian, Desserts",1300,Delivery,Indiranagar
Yes,No,4.2,131,Dessert Parlor,"Ice Cream, Desserts",180,Delivery,Indiranagar
Yes,No,4.0,28,Bakery,"Bakery, Desserts",500,Delivery,Indiranagar
Yes,No,2.7,71,Quick Bites,"Tibetan, Momos",400,Delivery,Indiranagar
Yes,No,3.3,11,Quick Bites,"Burger, Fast Food",150,Delivery,Indiranagar
Yes,No,3.0,143,Quick Bites,"Biryani, Chinese",200,Delivery,Indiranagar
Yes,No,3.4,36,Dessert Parlor,Bakery,150,Delivery,Indiranagar
Yes,Yes,3.5,43,Casual Dining,"North Indian, Biryani",700,Delivery,Indiranagar
Yes,No,3.7,110,Quick Bites,"Street Food, North Indian, Rolls",450,Delivery,Indiranagar
Yes,No,4.4,275,Dessert Parlor,"Desserts, Ice Cream",300,Delivery,Indiranagar
Yes,No,4.2,391,Cafe,"Cafe, Continental, Fast Food",500,Delivery,Indiranagar
Yes,No,2.9,94,Delivery,"Fast Food, North Indian, Chinese",500,Delivery,Indiranagar
Yes,No,3.5,22,Bakery,"Bakery, Desserts",600,Delivery,Indiranagar
Yes,No,4.1,41,"Dessert Parlor, Bakery","Desserts, Bakery",400,Delivery,Indiranagar
Yes,No,3.2,43,Quick Bites,North Indian,300,Delivery,Indiranagar
Yes,No,4.1,137,Cafe,"Cafe, American, Salad, Continental, Healthy Food, Italian, Coffee, Desserts",750,Delivery,Indiranagar
Yes,No,4.0,277,Casual Dining,"Kerala, Mangalorean, Seafood",700,Delivery,Indiranagar
Yes,No,3.0,110,Casual Dining,"Andhra, Biryani, Seafood",700,Delivery,Indiranagar
No,Yes,4.1,2008,Casual Dining,North Indian,800,Delivery,Indiranagar
Yes,No,2.8,413,Casual Dining,"Mughlai, North Indian, Chinese",700,Delivery,Indiranagar
Yes,No,3.6,27,Quick Bites,"Street Food, American",250,Delivery,Indiranagar
Yes,Yes,4.3,766,"Casual Dining, Cafe","Continental, Cafe, Desserts, Salad, Momos",1000,Delivery,Indiranagar
Yes,No,3.8,30,Quick Bites,"South Indian, Beverages",200,Delivery,Indiranagar
Yes,No,3.1,7,Quick Bites,Fast Food,500,Delivery,Indiranagar
Yes,No,3.4,13,Quick Bites,"North Indian, Juices",300,Delivery,Indiranagar
Yes,No,3.9,89,Delivery,"Desserts, Bakery",200,Delivery,Indiranagar
Yes,No,3.0,253,Casual Dining,"Kerala, Chinese",500,Delivery,Indiranagar
Yes,No,3.8,59,Sweet Shop,"Fast Food, Mithai",300,Delivery,Indiranagar
Yes,No,4.3,901,Casual Dining,Japanese,2000,Delivery,Indiranagar
Yes,No,2.8,53,Quick Bites,"North Indian, Chinese",300,Delivery,Indiranagar
Yes,No,3.4,13,Delivery,North Indian,400,Delivery,Indiranagar
Yes,No,4.0,111,Casual Dining,"Italian, Bakery, Fast Food",1000,Delivery,Indiranagar
Yes,No,4.3,391,Cafe,"Cafe, American, Fast Food, Coffee, Continental",700,Delivery,Indiranagar
Yes,No,4.3,1273,"Cafe, Casual Dining","Cafe, Italian, American",1000,Delivery,Indiranagar
No,No,4.2,583,Cafe,"Cafe, Desserts",700,Delivery,Indiranagar
Yes,No,3.9,122,Quick Bites,"Beverages, Fast Food",250,Delivery,Indiranagar
Yes,No,3.5,7,Quick Bites,"North Indian, Chinese",200,Delivery,Indiranagar
Yes,No,3.1,30,Delivery,"Pizza, Fast Food",400,Delivery,Indiranagar
Yes,No,3.8,80,Beverage Shop,"Beverages, Juices, Fast Food",200,Delivery,Indiranagar
Yes,No,3.4,6,Dessert Parlor,"Ice Cream, Fast Food",300,Delivery,Indiranagar
Yes,No,4.2,159,Quick Bites,"Beverages, Fast Food",600,Delivery,Indiranagar
Yes,No,3.9,224,Casual Dining,"North Indian, Iranian",950,Delivery,Indiranagar
Yes,Yes,4.4,654,Casual Dining,"Seafood, Mangalorean",1000,Delivery,Indiranagar
Yes,No,3.3,7,Delivery,"North Indian, Healthy Food",200,Delivery,Indiranagar
Yes,No,3.2,4,"Dessert Parlor, Bakery","Ice Cream, Desserts, Bakery",200,Delivery,Indiranagar
Yes,No,3.6,91,Casual Dining,"North Indian, Chinese, South Indian, Kerala",550,Delivery,Indiranagar
Yes,No,3.1,25,Quick Bites,North Indian,200,Delivery,Indiranagar
Yes,No,3.9,209,"Beverage Shop, Quick Bites","Beverages, Fast Food",400,Delivery,Indiranagar
Yes,No,4.0,736,Quick Bites,"Rolls, North Indian, Fast Food",500,Delivery,Indiranagar
No,Yes,4.0,364,Casual Dining,North Indian,650,Delivery,Indiranagar
Yes,No,3.7,28,Casual Dining,"Chinese, North Indian, South Indian",400,Delivery,Indiranagar
Yes,No,4.0,32,Quick Bites,"Healthy Food, South Indian",300,Delivery,Indiranagar
Yes,No,4.1,220,Casual Dining,"North Indian, Fast Food, Street Food",800,Delivery,Indiranagar
Yes,No,3.5,27,Bakery,"Desserts, Bakery",400,Delivery,Indiranagar
Yes,Yes,3.9,847,Casual Dining,"North Indian, BBQ, Mughlai",1200,Delivery,Indiranagar
Yes,Yes,4.0,2096,Club,"Chinese, Continental, North Indian, Burger, Pizza",2000,Delivery,Indiranagar
Yes,No,3.9,65,"Quick Bites, Bakery","Fast Food, Bakery",250,Delivery,Indiranagar
Yes,No,4.3,94,Casual Dining,"Mangalorean, Seafood",550,Delivery,Indiranagar
Yes,No,3.9,187,Quick Bites,"Street Food, Fast Food",250,Delivery,Indiranagar
Yes,Yes,4.3,3276,Casual Dining,"Italian, Pizza, Mexican",1400,Delivery,Indiranagar
Yes,No,3.5,76,Quick Bites,"Chinese, Arabian, Fast Food",500,Delivery,Indiranagar
Yes,No,3.8,66,Quick Bites,"South Indian, Fast Food",200,Delivery,Indiranagar
Yes,No,3.7,19,Casual Dining,North Indian,750,Delivery,Indiranagar
Yes,Yes,4.3,1788,Casual Dining,"Biryani, North Indian",900,Delivery,Indiranagar
Yes,No,3.6,33,Quick Bites,Street Food,200,Delivery,Indiranagar
Yes,No,3.7,243,Casual Dining,North Indian,850,Delivery,Indiranagar
Yes,No,3.6,12,"Takeaway, Delivery","Ice Cream, Desserts",300,Delivery,Indiranagar
Yes,No,3.2,17,Beverage Shop,"Juices, Beverages",100,Delivery,Indiranagar
Yes,No,2.9,35,Quick Bites,"South Indian, Fast Food",200,Delivery,Indiranagar
Yes,No,3.7,23,"Takeaway, Delivery","Continental, Healthy Food, Beverages",400,Delivery,Indiranagar
Yes,Yes,4.2,217,Casual Dining,"European, Italian, Asian",1500,Delivery,Indiranagar
Yes,No,4.2,456,Cafe,"Cafe, American, Italian, Pizza, Burger",700,Delivery,Indiranagar
Yes,No,3.9,214,Quick Bites,"Fast Food, Biryani",400,Delivery,Indiranagar
Yes,No,3.5,11,Quick Bites,"South Indian, North Indian",300,Delivery,Indiranagar
Yes,No,3.8,18,Quick Bites,"Chinese, Continental, North Indian, Italian",200,Delivery,Indiranagar
Yes,No,3.6,18,"Takeaway, Delivery","North Indian, South Indian, Chinese, Kerala",600,Delivery,Indiranagar
Yes,Yes,4.3,55,Casual Dining,"Seafood, South Indian, Bar Food, Mangalorean, Konkan",700,Delivery,Indiranagar
No,No,4.6,206,Dessert Parlor,"Ice Cream, Desserts",200,Delivery,Indiranagar
Yes,Yes,4.1,292,Casual Dining,"Goan, Seafood, Konkan, Desserts",1000,Delivery,Indiranagar
Yes,No,3.9,39,Bakery,"Bakery, Desserts",400,Delivery,Indiranagar
Yes,Yes,4.4,83,Casual Dining,"Asian, Chinese, Thai, Korean",1600,Delivery,Indiranagar
Yes,No,4.0,45,Casual Dining,"Japanese, Sushi, Asian",1500,Delivery,Indiranagar
Yes,No,3.5,26,Quick Bites,"North Indian, Chinese, South Indian, Seafood",250,Delivery,Indiranagar
Yes,No,3.4,13,Quick Bites,"South Indian, Kerala",150,Delivery,Indiranagar
Yes,Yes,4.0,1907,Casual Dining,"Thai, Japanese, Korean, Burmese, Chinese",2100,Delivery,Indiranagar
Yes,No,4.0,25,Quick Bites,South Indian,150,Delivery,Indiranagar
Yes,No,2.9,50,Quick Bites,"South Indian, North Indian, Chinese",350,Delivery,Indiranagar
Yes,No,4.1,114,"Cafe, Bakery","Cafe, Bakery",450,Delivery,Indiranagar
Yes,No,3.2,4,Quick Bites,"South Indian, North Indian, Chinese, Biryani",450,Delivery,Indiranagar
Yes,Yes,4.2,980,"Casual Dining, Bar","Goan, Mangalorean, Pizza",1000,Delivery,Indiranagar
No,No,3.9,149,Dessert Parlor,"Desserts, Fast Food",300,Delivery,Indiranagar
No,No,3.9,82,Quick Bites,"Juices, Fast Food, Desserts, Salad",300,Delivery,Indiranagar
